t(s)	ps01	ps02	ps03	ps04	ps05	ps06	ps07	ps08	ps09	ps10	ps11	ps12	ps13	ps14	ps15	ps16	ps17	ps18	ps19	ps20	ps21	
0.110055	4.59263e-005	1.94545e-005	0.000102331	0.00014916	-8.0551e-005	5.94312e-005	3.22691e-005	0.000104238	8.33919e-005	2.705e-005	4.85656e-005	0.000156831	0.000151381	0.000131625	0.000132432	0.000158193	0.000153153	-6.68214e-005	-2.17749e-005	4.34916e-005	-1.62242e-006	
0.111076	-9.75783e-006	-4.74755e-005	-8.00652e-005	-0.000197913	-0.00031228	-0.000103044	-2.32838e-005	5.88045e-005	2.06671e-005	-4.04973e-006	4.44773e-005	7.96336e-005	4.1311e-005	1.23102e-005	-0.000106212	-0.00010571	-0.000171366	-0.000221424	-0.000166569	-0.000126542	-7.66875e-005	
0.11216	-2.85521e-005	-5.87048e-005	-0.000126441	3.6698e-006	-7.0204e-005	-4.69837e-005	5.09361e-006	1.04921e-005	5.76574e-005	-4.30421e-006	-1.77887e-005	-2.25516e-005	-1.92445e-005	1.48551e-005	-0.000108224	-6.00568e-005	-2.52621e-005	-0.000113691	-8.14012e-005	-6.58234e-005	-5.6858e-005	
0.113181	3.71077e-006	-4.34889e-005	-7.6793e-005	-2.4111e-005	-3.63887e-005	-2.96845e-005	1.84186e-005	7.72433e-006	1.7255e-005	3.48397e-005	-5.46348e-006	6.92815e-007	-1.62617e-005	-1.56752e-005	-1.80019e-005	-4.86854e-006	-1.39179e-005	-9.46159e-005	-8.51313e-005	-7.04731e-005	-5.27174e-005	
0.114202	6.5454e-005	-3.25138e-005	1.09326e-005	3.62818e-005	-1.53002e-005	9.56282e-006	1.98209e-005	-6.66671e-006	-1.25724e-005	7.8009e-005	4.70179e-005	5.75192e-005	5.21899e-005	5.21949e-005	4.11704e-005	2.49583e-005	3.81819e-005	-2.48202e-005	-1.80944e-005	-2.76149e-005	-5.05676e-005	
0.115287	-2.43767e-005	-9.64852e-005	2.38006e-005	9.69181e-006	-2.74097e-005	1.03218e-005	-9.57325e-005	1.01979e-005	-4.71878e-005	-1.96693e-005	-4.13936e-005	2.05713e-005	2.45868e-005	4.60403e-005	1.99651e-005	2.80972e-005	-2.48502e-006	-4.57056e-005	-4.28676e-005	5.90739e-006	-2.76068e-005	
0.116307	7.30998e-006	-2.15428e-005	-0.000104301	4.79719e-005	-0.000177296	-0.000115999	-1.64552e-005	-1.87928e-005	-2.05134e-005	5.62022e-005	-8.41999e-006	2.62592e-005	1.64368e-005	1.06304e-006	-3.56333e-005	-9.85045e-006	1.04688e-005	-0.00019486	-0.000162936	-0.000115049	-0.00010919	
0.117392	7.16632e-005	-7.9094e-005	-4.54441e-005	-0.000124659	-0.000221064	-1.0042e-005	-1.35615e-005	4.71686e-005	2.65944e-005	5.4002e-005	3.61561e-005	-1.22321e-005	2.74991e-007	7.69967e-005	-5.82059e-005	-1.60694e-005	-4.66646e-005	-0.000237765	-0.00017348	-0.000101898	-2.55617e-005	
0.118413	5.65687e-005	-4.59534e-005	1.23828e-006	-7.17748e-005	-0.000218948	-4.20071e-005	-4.72122e-005	6.26019e-005	1.20238e-005	3.67237e-005	4.25239e-005	6.52858e-005	0.0001146	0.00010617	-3.23467e-006	2.81705e-005	-4.88391e-005	-0.000183351	-8.78929e-005	-5.62309e-005	-6.09647e-005	
0.119497	2.94177e-005	-4.54529e-005	5.22257e-005	6.17666e-005	2.24369e-005	9.05566e-008	-1.15441e-005	-4.10317e-005	-1.65758e-005	4.36408e-005	4.63937e-005	4.81648e-005	9.28284e-005	0.000122249	8.00655e-005	8.14699e-005	4.054e-005	-6.60773e-005	-5.20974e-005	-3.15249e-005	-8.51362e-005	
