.1 180 0     n t	R	Z	an	at	posnam
001    0001 	105.9	-60.1	90	0      	R
002    00 	105.9	-120	90	0      	w
003    00 	105.9	-180.2	90	0      	R
0n04   0t04 	105.9	-289.8	90	0      	R
0005   00 	105.9	-390.2	90	0      	R
0n06   00 	105.9	-454.9	90	0      	U
0n07   0t07 	185.4	-550.6	12.4	282.8  	z
0n08   0t08 	247.2	-550.1	-7.7	261.7  	z
0n09   0t09 	380.6	-515.5	-24	245.7  	v
0n10   0t10	448.2	-476.6	 -36.9	234.3  	v
0n11   0t11	502.4	-430.8	 -45.3	225.6  	z
0n12   0t12	576.7	-342.9 	 -55	214.9  	r
0n13   0t13	613.9	-285.2	 -59	211.9  	r
0n14   0t14	648.6	-193.3	 -89	179.3  	R
0n15   0t15	652.1	-101.3	 -88.7	179.7  	R
0n16   0t16	652.7	0.7	 -88.9	179.7  	R
0n17   0t17	652.1	106	 -88.7	181.2  	R
0n18   0t18	650	193.9	 -90.8	179.3  	R
0n19   0t19	615.6	284	 -121.1	147.6  	u
0n20   0t20	578.6	341.1	 -123.7	146.1  	u
0n21   0t21	504.8	428.8	 -135.4	136.43 	Z
0n22   0t22	451.9	475.4	 -144.1	126.4  	U
0n23   0t23	383.6	514.8	 -154.7	115    	Z
0n24   0t24	244.3	549.9	 -172.7	97.4   	Z
0n25   0025	185.1	549.9	-193.9	76.5   	Z
0n26   0t26	105.9	455	90	0       	w
0n27   0t27	105.9	390.8	90	0	R
0n28   0t28	105.9	290	90	0      	R
0n29   0t29	105.9	180	90	0      	R
00     00	105.9	120	90	0       	r
0      00	105.9	60	90	0       	r
0      00	105.9	0	90	0       	r
