;координаты концов сечений плоскостью rz (проведенной через ось симметрии системы)
;расчетных токопровод€щих элементов
;(имеющих форму боковой поверхности усеченных конусов с ѕќ—“ќяЌЌќ…
;по их сечению поверхностной плотностью тока, текущего нормально к плоскости rz)
;и их эл. сопротивление.
;r(m)	z(m)	ohm
;.31	.87	 .55e-3
;.31	.99
;.31	-.87	.55e-3
;.31	-.99
.064	.60	.0002
.064	.50	.0002
.064	.40	.0002
.064	.30	.0002
.064	.20	.0003
.064	.10	.0003
.064	  0	.0003
.064	-.10	.0003
.064	-.20	.0002
.064	-.30	.0002
.064	-.40	.0002
.064	-.50	.0002 
.064	-.6	
.639	-.08	0.00582
.639	-.15   	0.00582
.639	-.2195
.635	-.08	0.00582
.635	-.15   	0.00582
.635	-.2195
.6327	-.2195	.0102
.5932	-.30	.0144
.5604	-.3494	.0135
.525	-.396	.0125
.4805	-.4378	.0123
.4374	-.4728	.01197
.3934	-.50	.01065
.3463	-.5209	.00925
.2968	-.5355	.0078
.2459	-.54347	.00725
.20	-.5438	.00677
.1624	-.5328	.0055
.1295	-.5109	.0054
.1123	-.483	.0045
.1095	-.447	0.002185
.1095	-.336	0.002185
.1095	-.224	0.002185
.1095	-.112	0.002185
.1095	0	0.002185
.1095	.112	0.002185
.1095	.224	0.002185
.1095	.336	0.002185
.1095	.447	.0045
.1123	.483	.0054
.1295	.5109	.0055
.1624	.5328	.00677
.20	.5438	.00725
.2459	.54347	.0078
.2968	.5355	.00925
.3463	.5209	.01065
.3934	.50	.01197
.4374	.4728	.0123
.4805	.4378	.0125
.525	.396	.0135
.5604	.3494	.0144
.5932	.30	.0102
.6327	.2195	
.639	.2195	0.00582
.639	.15   	0.00582
.639	.08	
.635	.2195	0.00582
.635	.15	0.00582
.635	.08
;
